3.9136,4.0997,4.071,3.404,2.9781,3.9865,4.0044,2.546,3.8222,2.3125,2.1115,3.4612,2.2199,2.0779,3.3024,3.56,4.1126,3.7267,4.1821,3.2688,6.0545,5.5674,6.9149,5.2958,6.1784,6.072,6.8517,5.2759,5.1713,6.0454,3.0912,3.7002,2.8711,4.2307,2.0305,4.2195,3.2342,3.2417,4.129,2.8491,3.526,2.3168,4.0832,3.7768,3.3424,3.5935,2.8585,2.7039,2.2047,4.2306
3.4999,3.8234,2.6675,3.0071,3.6685,2.5214,3.0783,2.9592,2.3142,3.6814,3.2206,3.0949,3.9221,3.6946,2.9414,2.4554,3.5976,3.0629,3.242,4.1663,6.2142,5.2965,7.012,6.9464,6.9996,7.0092,6.1347,5.9906,6.6559,5.316,3.1132,3.3061,3.7336,3.1426,2.8364,3.0193,2.4769,2.2853,4.1821,4.0223,2.8008,2.9792,3.7511,4.0702,2.1901,2.8456,2.5818,3.625,4.0313,3.1568
3.1708,2.003,2.756,3.059,3.0463,3.9266,2.0315,2.0228,3.9674,2.5407,4.109,4.1754,2.0618,4.1402,2.2059,3.49,3.5188,3.5225,3.8924,3.8436,5.1335,6.2187,5.4872,6.3482,6.7405,7.0901,5.8188,7.0101,6.0208,5.1524,4.0929,2.901,2.4011,3.9532,4.0632,2.9527,3.3144,2.3783,2.0691,3.5213,4.2068,2.7835,3.5332,2.3999,4.0625,2.5566,3.9621,3.1533,3.1403,4.2149
2.6682,2.0069,3.9219,4.1236,3.9249,3.5915,3.3928,3.3614,2.2133,3.4545,2.7188,3.6737,4.0106,2.7667,2.0537,2.9907,4.1452,2.9323,2.9125,4.1458,6.4714,6.851,5.1721,5.5932,5.1551,6.8289,5.5068,5.7908,6.4943,6.5971,2.8705,3.1405,2.2445,2.157,3.222,2.4768,2.3192,2.0022,3.1044,2.8471,2.1878,3.07,3.0425,3.1573,2.1198,2.5654,3.8025,3.7679,3.375,2.5065
3.5741,2.1956,2.7613,2.1867,3.0432,3.9517,2.5167,4.1421,2.7883,3.9171,3.8033,3.2697,4.0123,3.4272,3.0982,2.9689,3.7337,2.85,3.0331,3.4453,6.9893,6.8716,6.0604,6.9338,5.6234,6.5852,6.1959,5.2687,6.5636,5.6887,2.2619,3.1083,4.024,4.2082,3.0596,2.4321,2.1168,2.935,3.9291,3.4131,2.5597,3.3135,2.5821,3.402,3.1785,3.7156,3.0311,2.4573,2.7068,2.89
2.8533,2.583,2.3088,2.6257,3.1138,4.0974,3.1794,2.2134,3.3269,2.1887,3.3448,2.6685,3.1719,2.767,2.6222,2.3918,3.3589,2.4769,3.8477,2.8488,5.2451,6.8634,6.8672,5.1299,5.8483,6.6619,5.6473,6.2726,6.2776,6.5008,2.5376,3.4565,3.9596,4.0632,3.1103,3.8621,3.5279,3.0923,2.5431,2.544,3.8142,2.326,3.2729,4.0419,2.2658,2.1115,2.2034,3.5163,2.1733,3.5576
3.2694,2.051,3.1355,2.9995,3.0899,2.3124,3.6211,2.0796,3.3085,4.1737,3.7656,2.5727,2.2688,2.484,2.7597,2.432,4.1198,2.8563,4.2164,3.0657,5.9789,5.4555,6.0496,6.0236,6.9335,7.0118,5.1529,6.9566,6.4058,6.4589,3.5315,3.663,4.2356,3.2617,2.6909,3.6248,3.3608,2.3575,3.8655,3.2777,2.1888,4.0244,2.5563,3.4847,2.85,3.5324,3.2617,2.1174,3.902,2.1445
3.9853,2.9483,3.9155,3.3138,2.5131,2.8808,3.3582,3.9817,3.493,2.0703,3.787,3.9824,2.3976,3.758,2.6425,3.3784,2.1334,2.0663,3.1716,4.039,5.6266,6.2174,5.9252,6.6149,5.9391,5.1459,5.19,5.7794,6.9627,6.1875,3.8766,2.6752,3.9325,2.9648,4.1261,3.1845,2.4912,3.4911,3.8192,4.1952,3.1879,3.4315,2.714,2.8703,3.8175,3.387,2.419,3.7915,2.3232,3.6718
3.8849,2.7626,2.8594,3.9624,2.1913,4.1926,3.3156,2.5522,3.449,3.868,2.1108,2.9991,3.5789,3.6169,2.3822,2.6015,2.6009,3.0561,4.0693,2.0332,7.2031,6.9564,6.1242,5.758,5.5364,5.7511,5.1528,5.0937,6.4811,6.599,4.1693,2.2004,2.0825,2.7554,4.1958,3.8539,2.9085,2.0401,3.4064,3.8999,3.7902,2.3643,4.0366,3.6547,2.5458,3.6696,3.1889,3.5173,2.8284,2.94
4.0098,3.2105,3.5556,3.0489,2.1507,3.4418,2.9692,2.0199,2.969,3.8687,2.6333,3.8246,3.859,2.6235,2.8928,3.2515,4.2063,2.7454,3.6525,2.3504,6.3612,5.2706,5.2805,5.8972,6.3364,5.0097,5.9164,5.3183,6.9575,6.1288,2.4811,3.8469,3.2179,3.6116,3.1484,3.1446,3.4085,2.2676,2.005,2.6338,3.6521,3.2654,3.9794,3.8283,3.9776,4.1852,2.7939,4.1153,3.3917,3.8142
